tipo_jornada;formacion;periodo;total
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1499,01
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1496,4
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1504,03
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1923,19
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1879,54
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1813,38
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1796,66
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1749,81
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1697,21
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1701,26
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1705,91
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1712,47
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;2179,04
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;2153,06
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;2103,48
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;2057,93
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;2016,58
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1963,28
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1960,06
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1950,64
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1987,82
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;2576,47
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;2542,17
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;2500,76
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;2417,85
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;2409,65
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;2331,09
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;2348,78
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;2342,6
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;2377,49
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;3163,1
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;3174,92
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;3159,23
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;3047,46
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;2972,66
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;2939,53
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;2882,45
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;2905,34
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;2893,22
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;4487,16
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;4484,76
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;4375,91
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;4207,99
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;4238,73
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;4212,41
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;4159,87
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;4202,36
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;3997,6
Total;Educación superior;2022;2647,84
Total;Educación superior;2021;2606,32
Total;Educación superior;2020;2553,23
Total;Educación superior;2019;2493,46
Total;Educación superior;2018;2455,26
Total;Educación superior;2017;2408,66
Total;Educación superior;2016;2380,45
Total;Educación superior;2015;2408,23
Total;Educación superior;2014;2403,38
Total;Educación superior;2022;657,1
Total;Educación superior;2021;585,37
Total;Educación superior;2020;536,05
Total;Educación superior;2019;538,21
Total;Educación superior;2018;489,5
Total;Educación superior;2017;476,55
Total;Educación superior;2016;457,52
Total;Educación superior;2015;433,01
Total;Educación superior;2014;414,18
Total;Educación superior;2022;1137,97
Total;Educación superior;2021;1035,71
Total;Educación superior;2020;1001,52
Total;Educación superior;2019;991,03
Total;Educación superior;2018;898,93
Total;Educación superior;2017;863,22
Total;Educación superior;2016;854,81
Total;Educación superior;2015;832
Total;Educación superior;2014;815,19
Total;Educación superior;2022;1348,58
Total;Educación superior;2021;1268,02
Total;Educación superior;2020;1238,18
Total;Educación superior;2019;1218,41
Total;Educación superior;2018;1158,06
Total;Educación superior;2017;1120,43
Total;Educación superior;2016;1120,38
Total;Educación superior;2015;1098,31
Total;Educación superior;2014;1098,34
Total;Educación superior;2022;1530,11
Total;Educación superior;2021;1460,67
Total;Educación superior;2020;1420,32
Total;Educación superior;2019;1419,43
Total;Educación superior;2018;1353,44
Total;Educación superior;2017;1323,68
Total;Educación superior;2016;1321,16
Total;Educación superior;2015;1305,69
Total;Educación superior;2014;1313,45
Total;Educación superior;2022;1717,92
Total;Educación superior;2021;1658,7
Total;Educación superior;2020;1611,5
Total;Educación superior;2019;1593,16
Total;Educación superior;2018;1549,77
Total;Educación superior;2017;1497,31
Total;Educación superior;2016;1502,36
Total;Educación superior;2015;1501,68
Total;Educación superior;2014;1504,62
Total;Educación superior;2022;1927,79
Total;Educación superior;2021;1878,95
Total;Educación superior;2020;1821,92
Total;Educación superior;2019;1796,76
Total;Educación superior;2018;1755,71
Total;Educación superior;2017;1703,16
Total;Educación superior;2016;1710,41
Total;Educación superior;2015;1708,35
Total;Educación superior;2014;1722,61
Total;Educación superior;2022;2201,97
Total;Educación superior;2021;2172,82
Total;Educación superior;2020;2115,56
Total;Educación superior;2019;2064,39
Total;Educación superior;2018;2021,71
Total;Educación superior;2017;1977,58
Total;Educación superior;2016;1975,05
Total;Educación superior;2015;1966,2
Total;Educación superior;2014;2004,04
Total;Educación superior;2022;2616,26
Total;Educación superior;2021;2590,67
Total;Educación superior;2020;2555,7
Total;Educación superior;2019;2459,9
Total;Educación superior;2018;2428,45
Total;Educación superior;2017;2374,13
Total;Educación superior;2016;2363,09
Total;Educación superior;2015;2374,29
Total;Educación superior;2014;2399,4
Total;Educación superior;2022;3191,78
Total;Educación superior;2021;3156
Total;Educación superior;2020;3165,1
Total;Educación superior;2019;3038,13
Total;Educación superior;2018;3012,35
Total;Educación superior;2017;2965,48
Total;Educación superior;2016;2932,63
Total;Educación superior;2015;2977,04
Total;Educación superior;2014;2957,51
Total;Educación superior;2022;5096,96
Total;Educación superior;2021;5171,19
Total;Educación superior;2020;5013,05
Total;Educación superior;2019;4788,74
Total;Educación superior;2018;4872,3
Total;Educación superior;2017;4685,86
Total;Educación superior;2016;4629,32
Total;Educación superior;2015;4858,82
Total;Educación superior;2014;4693,19
Jornada a tiempo completo;Total;2022;2341,35
Jornada a tiempo completo;Total;2021;2313,13
Jornada a tiempo completo;Total;2020;2258,3
Jornada a tiempo completo;Total;2019;2207,31
Jornada a tiempo completo;Total;2018;2177,14
Jornada a tiempo completo;Total;2017;2120,76
Jornada a tiempo completo;Total;2016;2106,71
Jornada a tiempo completo;Total;2015;2142,03
Jornada a tiempo completo;Total;2014;2132,2
Jornada a tiempo completo;Total;2022;874,6
Jornada a tiempo completo;Total;2021;784,59
Jornada a tiempo completo;Total;2020;737,64
Jornada a tiempo completo;Total;2019;745,66
Jornada a tiempo completo;Total;2018;670,68
Jornada a tiempo completo;Total;2017;642,01
Jornada a tiempo completo;Total;2016;633,39
Jornada a tiempo completo;Total;2015;615,79
Jornada a tiempo completo;Total;2014;575,37
Jornada a tiempo completo;Total;2022;1159,4
Jornada a tiempo completo;Total;2021;1064,97
Jornada a tiempo completo;Total;2020;1027,6
Jornada a tiempo completo;Total;2019;1020,14
Jornada a tiempo completo;Total;2018;925,84
Jornada a tiempo completo;Total;2017;882,86
Jornada a tiempo completo;Total;2016;878,9
Jornada a tiempo completo;Total;2015;850,46
Jornada a tiempo completo;Total;2014;844,46
Jornada a tiempo completo;Total;2022;1346,55
Jornada a tiempo completo;Total;2021;1267,75
Jornada a tiempo completo;Total;2020;1238,09
Jornada a tiempo completo;Total;2019;1222,98
Jornada a tiempo completo;Total;2018;1158,89
Jornada a tiempo completo;Total;2017;1123,98
Jornada a tiempo completo;Total;2016;1120,79
Jornada a tiempo completo;Total;2015;1103,99
Jornada a tiempo completo;Total;2014;1104,75
Jornada a tiempo completo;Total;2022;1530,13
Jornada a tiempo completo;Total;2021;1462,55
Jornada a tiempo completo;Total;2020;1423,46
Jornada a tiempo completo;Total;2019;1418,56
Jornada a tiempo completo;Total;2018;1358,39
Jornada a tiempo completo;Total;2017;1323,06
Jornada a tiempo completo;Total;2016;1325,47
Jornada a tiempo completo;Total;2015;1312,19
Jornada a tiempo completo;Total;2014;1315,8
Jornada a tiempo completo;Total;2022;1717
Jornada a tiempo completo;Total;2021;1657,51
Jornada a tiempo completo;Total;2020;1606,82
Jornada a tiempo completo;Total;2019;1595,45
Jornada a tiempo completo;Total;2018;1546,13
Jornada a tiempo completo;Total;2017;1498,09
Jornada a tiempo completo;Total;2016;1497,64
Jornada a tiempo completo;Total;2015;1497,28
Jornada a tiempo completo;Total;2014;1503,49
Jornada a tiempo completo;Total;2022;1924,15
Jornada a tiempo completo;Total;2021;1874,27
Jornada a tiempo completo;Total;2020;1816,65
Jornada a tiempo completo;Total;2019;1793,5
Jornada a tiempo completo;Total;2018;1752,62
Jornada a tiempo completo;Total;2017;1698,47
Jornada a tiempo completo;Total;2016;1703,64
Jornada a tiempo completo;Total;2015;1704,22
Jornada a tiempo completo;Total;2014;1715,65
Jornada a tiempo completo;Total;2022;2196,18
Jornada a tiempo completo;Total;2021;2164,25
Jornada a tiempo completo;Total;2020;2107,14
Jornada a tiempo completo;Total;2019;2058,53
Jornada a tiempo completo;Total;2018;2017,11
Jornada a tiempo completo;Total;2017;1969,94
Jornada a tiempo completo;Total;2016;1969,72
Jornada a tiempo completo;Total;2015;1961,12
Jornada a tiempo completo;Total;2014;1997,67
Jornada a tiempo completo;Total;2022;2603,14
Jornada a tiempo completo;Total;2021;2576,59
Jornada a tiempo completo;Total;2020;2541,41
Jornada a tiempo completo;Total;2019;2446,2
Jornada a tiempo completo;Total;2018;2421,73
Jornada a tiempo completo;Total;2017;2363,26
Jornada a tiempo completo;Total;2016;2355,17
Jornada a tiempo completo;Total;2015;2364,19
Jornada a tiempo completo;Total;2014;2386,97
Jornada a tiempo completo;Total;2022;3188,75
Jornada a tiempo completo;Total;2021;3161,69
Jornada a tiempo completo;Total;2020;3161,01
Jornada a tiempo completo;Total;2019;3036,8
Jornada a tiempo completo;Total;2018;3007,98
Jornada a tiempo completo;Total;2017;2956,05
Jornada a tiempo completo;Total;2016;2922,84
Jornada a tiempo completo;Total;2015;2964,56
Jornada a tiempo completo;Total;2014;2947,02
Jornada a tiempo completo;Total;2022;5020,53
Jornada a tiempo completo;Total;2021;5092,67
Jornada a tiempo completo;Total;2020;4964,01
Jornada a tiempo completo;Total;2019;4725,47
Jornada a tiempo completo;Total;2018;4799,61
Jornada a tiempo completo;Total;2017;4631,17
Jornada a tiempo completo;Total;2016;4568,68
Jornada a tiempo completo;Total;2015;4786,61
Jornada a tiempo completo;Total;2014;4616,94
Jornada a tiempo completo;Z Analfabetos;2022;1481,93
Jornada a tiempo completo;Z Analfabetos;2021;1265,46
Jornada a tiempo completo;Z Analfabetos;2020;1335,7
Jornada a tiempo completo;Z Analfabetos;2019;1386,94
Jornada a tiempo completo;Z Analfabetos;2018;1182,91
Jornada a tiempo completo;Z Analfabetos;2017;1323,37
Jornada a tiempo completo;Z Analfabetos;2016;1233,25
Jornada a tiempo completo;Z Analfabetos;2015;1179,25
Jornada a tiempo completo;Z Analfabetos;2014;1050,29
Jornada a tiempo completo;Z Analfabetos;2022;..
Jornada a tiempo completo;Z Analfabetos;2021;736,56
Jornada a tiempo completo;Z Analfabetos;2020;722,85
Jornada a tiempo completo;Z Analfabetos;2019;..
Jornada a tiempo completo;Z Analfabetos;2018;656,02
Jornada a tiempo completo;Z Analfabetos;2017;690,22
Jornada a tiempo completo;Z Analfabetos;2016;663,2
Jornada a tiempo completo;Z Analfabetos;2015;525,53
Jornada a tiempo completo;Z Analfabetos;2014;548,99
Jornada a tiempo completo;Z Analfabetos;2022;1154,27
Jornada a tiempo completo;Z Analfabetos;2021;1074,65
Jornada a tiempo completo;Z Analfabetos;2020;975,13
Jornada a tiempo completo;Z Analfabetos;2019;1020,08
Jornada a tiempo completo;Z Analfabetos;2018;906,15
Jornada a tiempo completo;Z Analfabetos;2017;851,28
Jornada a tiempo completo;Z Analfabetos;2016;839,92
Jornada a tiempo completo;Z Analfabetos;2015;839,46
Jornada a tiempo completo;Z Analfabetos;2014;765,73
Jornada a tiempo completo;Z Analfabetos;2022;1334,91
Jornada a tiempo completo;Z Analfabetos;2021;1260,99
Jornada a tiempo completo;Z Analfabetos;2020;1221
Jornada a tiempo completo;Z Analfabetos;2019;1204,32
Jornada a tiempo completo;Z Analfabetos;2018;1143,12
Jornada a tiempo completo;Z Analfabetos;2017;1133,56
Jornada a tiempo completo;Z Analfabetos;2016;1103,78
Jornada a tiempo completo;Z Analfabetos;2015;1123,6
Jornada a tiempo completo;Z Analfabetos;2014;1083,21
Jornada a tiempo completo;Z Analfabetos;2022;1507,7
Jornada a tiempo completo;Z Analfabetos;2021;1462,28
Jornada a tiempo completo;Z Analfabetos;2020;1437,62
Jornada a tiempo completo;Z Analfabetos;2019;1412,1
Jornada a tiempo completo;Z Analfabetos;2018;1371,52
Jornada a tiempo completo;Z Analfabetos;2017;1336,64
Jornada a tiempo completo;Z Analfabetos;2016;1338,89
Jornada a tiempo completo;Z Analfabetos;2015;1318,8
Jornada a tiempo completo;Z Analfabetos;2014;1293,14
Jornada a tiempo completo;Z Analfabetos;2022;1688,71
Jornada a tiempo completo;Z Analfabetos;2021;1651,95
Jornada a tiempo completo;Z Analfabetos;2020;1569,06
Jornada a tiempo completo;Z Analfabetos;2019;1573,84
Jornada a tiempo completo;Z Analfabetos;2018;1533,72
Jornada a tiempo completo;Z Analfabetos;2017;1542,24
Jornada a tiempo completo;Z Analfabetos;2016;1516,51
Jornada a tiempo completo;Z Analfabetos;2015;1492,13
Jornada a tiempo completo;Z Analfabetos;2014;1526,64
Jornada a tiempo completo;Z Analfabetos;2022;1922,33
Jornada a tiempo completo;Z Analfabetos;2021;1888,53
Jornada a tiempo completo;Z Analfabetos;2020;1749,66
Jornada a tiempo completo;Z Analfabetos;2019;1883,81
Jornada a tiempo completo;Z Analfabetos;2018;1721,95
Jornada a tiempo completo;Z Analfabetos;2017;1749,48
Jornada a tiempo completo;Z Analfabetos;2016;1685,09
Jornada a tiempo completo;Z Analfabetos;2015;..
Jornada a tiempo completo;Z Analfabetos;2014;1619,4
Jornada a tiempo completo;Z Analfabetos;2022;2163,37
Jornada a tiempo completo;Z Analfabetos;2021;..
Jornada a tiempo completo;Z Analfabetos;2020;2217,68
Jornada a tiempo completo;Z Analfabetos;2019;1986,12
Jornada a tiempo completo;Z Analfabetos;2018;..
Jornada a tiempo completo;Z Analfabetos;2017;1904,58
Jornada a tiempo completo;Z Analfabetos;2016;2043,22
Jornada a tiempo completo;Z Analfabetos;2015;2019,66
Jornada a tiempo completo;Z Analfabetos;2014;..
Jornada a tiempo completo;Z Analfabetos;2022;..
Jornada a tiempo completo;Z Analfabetos;2021;2812,17
Jornada a tiempo completo;Z Analfabetos;2020;..
Jornada a tiempo completo;Z Analfabetos;2019;2477,68
Jornada a tiempo completo;Z Analfabetos;2018;2348,07
Jornada a tiempo completo;Z Analfabetos;2017;2574,73
Jornada a tiempo completo;Z Analfabetos;2016;2340
Jornada a tiempo completo;Z Analfabetos;2015;..
Jornada a tiempo completo;Z Analfabetos;2014;2356,32
Jornada a tiempo completo;Z Analfabetos;2022;..
Jornada a tiempo completo;Z Analfabetos;2021;..
Jornada a tiempo completo;Z Analfabetos;2020;..
Jornada a tiempo completo;Z Analfabetos;2019;..
Jornada a tiempo completo;Z Analfabetos;2018;..
Jornada a tiempo completo;Z Analfabetos;2017;2930,08
Jornada a tiempo completo;Z Analfabetos;2016;..
Jornada a tiempo completo;Z Analfabetos;2015;..
Jornada a tiempo completo;Z Analfabetos;2014;..
Jornada a tiempo completo;Z Analfabetos;2022;..
Jornada a tiempo completo;Z Analfabetos;2021;..
Jornada a tiempo completo;Z Analfabetos;2020;..
Jornada a tiempo completo;Z Analfabetos;2019;3758,46
Jornada a tiempo completo;Z Analfabetos;2018;..
Jornada a tiempo completo;Z Analfabetos;2017;..
Jornada a tiempo completo;Z Analfabetos;2016;..
Jornada a tiempo completo;Z Analfabetos;2015;..
Jornada a tiempo completo;Z Analfabetos;2014;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;1540,64
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;1473,47
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;1413,57
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;1407,11
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;1343,86
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;1348,84
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;1263,71
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;1353,01
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;1353,64
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;887,88
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;782,18
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;735,21
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;704,04
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;679,63
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;596,97
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;603,62
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;572,06
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;620,71
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;1148,84
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;1058,69
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;1019,48
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;1029,1
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;934,33
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;872,35
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;883,56
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;845,78
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;847,77
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;1338,8
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;1274,35
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;1242,89
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;1214,41
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;1160,93
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;1089,32
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;1102,26
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;1090,97
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;1099,13
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;1527,46
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;1470,15
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;1415,76
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;1415,5
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;1339,03
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;1300,05
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;1336,35
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;1321,34
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;1311,58
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;1739,33
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;1680,92
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;1571,67
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;1581,9
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;1533,75
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;1515,23
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;1515,15
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;1494,99
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;1496,65
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;1894,07
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;1878,21
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;1811,81
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;1787,68
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;1780,48
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;1703,67
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;1679,97
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;1703,13
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;1744,17
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;2199,91
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;2115,94
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;2105,02
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;2016,21
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;2004,69
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;1927,34
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;1911,89
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;1944,31
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;2024,02
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;2401,75
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;2551,1
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;2374,36
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;2295,21
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;2376,58
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;2218,27
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;2322,55
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;2451,41
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;2899,02
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;2853,18
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;2848,4
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;2842,23
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;2699,87
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;2825,31
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;3131,19
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;2936,41
Jornada a tiempo completo;11 Estudios primarios incompletos;2022;3681,24
Jornada a tiempo completo;11 Estudios primarios incompletos;2021;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2020;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2019;3515,61
Jornada a tiempo completo;11 Estudios primarios incompletos;2018;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2017;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2016;3567,05
Jornada a tiempo completo;11 Estudios primarios incompletos;2015;..
Jornada a tiempo completo;11 Estudios primarios incompletos;2014;..
Jornada a tiempo completo;B Educación primaria;2022;1620,66
Jornada a tiempo completo;B Educación primaria;2021;1560,66
Jornada a tiempo completo;B Educación primaria;2020;1538,57
Jornada a tiempo completo;B Educación primaria;2019;1526,69
Jornada a tiempo completo;B Educación primaria;2018;1486,89
Jornada a tiempo completo;B Educación primaria;2017;1442,85
Jornada a tiempo completo;B Educación primaria;2016;1461,68
Jornada a tiempo completo;B Educación primaria;2015;1485,48
Jornada a tiempo completo;B Educación primaria;2014;1490,88
Jornada a tiempo completo;B Educación primaria;2022;831,42
Jornada a tiempo completo;B Educación primaria;2021;784,49
Jornada a tiempo completo;B Educación primaria;2020;739,59
Jornada a tiempo completo;B Educación primaria;2019;747,11
Jornada a tiempo completo;B Educación primaria;2018;699,03
Jornada a tiempo completo;B Educación primaria;2017;621,94
Jornada a tiempo completo;B Educación primaria;2016;638,02
Jornada a tiempo completo;B Educación primaria;2015;606,84
Jornada a tiempo completo;B Educación primaria;2014;553,38
Jornada a tiempo completo;B Educación primaria;2022;1162,38
Jornada a tiempo completo;B Educación primaria;2021;1057,04
Jornada a tiempo completo;B Educación primaria;2020;1037,29
Jornada a tiempo completo;B Educación primaria;2019;1012,65
Jornada a tiempo completo;B Educación primaria;2018;918,99
Jornada a tiempo completo;B Educación primaria;2017;882,76
Jornada a tiempo completo;B Educación primaria;2016;868,26
Jornada a tiempo completo;B Educación primaria;2015;838,07
Jornada a tiempo completo;B Educación primaria;2014;843,74
Jornada a tiempo completo;B Educación primaria;2022;1340,2
Jornada a tiempo completo;B Educación primaria;2021;1264,4
Jornada a tiempo completo;B Educación primaria;2020;1233,95
Jornada a tiempo completo;B Educación primaria;2019;1222,56
Jornada a tiempo completo;B Educación primaria;2018;1148,34
Jornada a tiempo completo;B Educación primaria;2017;1125,31
Jornada a tiempo completo;B Educación primaria;2016;1117,27
Jornada a tiempo completo;B Educación primaria;2015;1092,79
Jornada a tiempo completo;B Educación primaria;2014;1100,4
Jornada a tiempo completo;B Educación primaria;2022;1523,52
Jornada a tiempo completo;B Educación primaria;2021;1464,63
Jornada a tiempo completo;B Educación primaria;2020;1426,99
Jornada a tiempo completo;B Educación primaria;2019;1423,93
Jornada a tiempo completo;B Educación primaria;2018;1357,74
Jornada a tiempo completo;B Educación primaria;2017;1315,57
Jornada a tiempo completo;B Educación primaria;2016;1333,1
Jornada a tiempo completo;B Educación primaria;2015;1314,71
Jornada a tiempo completo;B Educación primaria;2014;1320,07
Jornada a tiempo completo;B Educación primaria;2022;1732,76
Jornada a tiempo completo;B Educación primaria;2021;1667,33
Jornada a tiempo completo;B Educación primaria;2020;1613,63
Jornada a tiempo completo;B Educación primaria;2019;1593,74
Jornada a tiempo completo;B Educación primaria;2018;1544,02
Jornada a tiempo completo;B Educación primaria;2017;1498,31
Jornada a tiempo completo;B Educación primaria;2016;1488,76
Jornada a tiempo completo;B Educación primaria;2015;1491,34
Jornada a tiempo completo;B Educación primaria;2014;1496,66
Jornada a tiempo completo;B Educación primaria;2022;1919,93
Jornada a tiempo completo;B Educación primaria;2021;1867,94
Jornada a tiempo completo;B Educación primaria;2020;1823,85
Jornada a tiempo completo;B Educación primaria;2019;1793,24
Jornada a tiempo completo;B Educación primaria;2018;1748,64
